imp_age,imp_educat,imp_female,imp_race,sevhard,sevhealthd,spmpov,spmres
43,4,1,1. White Non-Hispanic,0,0,0,128448.25
66,4,1,2. Black Non-Hispanic,0,1,0,150896.08
70,2,0,1. White Non-Hispanic,0,0,0,53299.551
38,4,1,1. White Non-Hispanic,0,0,0,145532.19
42,1,0,5. Hispanic,0,0,1,14895.368
37,4,0,5. Hispanic,1,0,0,28172.25
76,1,1,2. Black Non-Hispanic,0,0,0,30383.467
52,4,0,1. White Non-Hispanic,0,0,0,30493.189
80,4,0,1. White Non-Hispanic,0,1,1,24000
60,4,0,3. Asian Non-Hispanic,0,0,0,74677.016
45,2,0,5. Hispanic,1,0,1,33068.711
46,1,0,5. Hispanic,0,0,0,56245
46,4,1,4. Other / MultiRacial,0,0,0,44253.25
47,4,0,5. Hispanic,1,0,1,19078.33
63,1,1,5. Hispanic,0,1,0,19195.523
27,4,0,2. Black Non-Hispanic,0,0,0,54816.801
67,2,0,1. White Non-Hispanic,0,0,0,119522.5
30,4,0,3. Asian Non-Hispanic,0,0,0,41100.09
79,2,1,5. Hispanic,0,0,1,11902.023
53,4,1,1. White Non-Hispanic,0,1,0,101836.33
39,4,1,1. White Non-Hispanic,1,0,0,36602.398
56,3,0,1. White Non-Hispanic,1,0,0,108592.34
80,4,0,1. White Non-Hispanic,0,0,0,54095.98
45,4,1,2. Black Non-Hispanic,1,0,1,14291.298
32,4,1,1. White Non-Hispanic,0,0,0,117688.3
28,3,1,2. Black Non-Hispanic,1,0,0,60011.004
66,4,0,1. White Non-Hispanic,0,0,0,57434.844
46,4,1,1. White Non-Hispanic,0,0,0,100229.46
20,3,0,2. Black Non-Hispanic,0,0,0,49336.73
65,4,1,1. White Non-Hispanic,0,0,0,134590.75
67,3,0,2. Black Non-Hispanic,1,1,0,50408.449
42,4,0,5. Hispanic,0,1,0,16842.77
69.46071236,2,0,5. Hispanic,1,0,0,102234
84,4,0,1. White Non-Hispanic,0,0,1,50
58,4,0,1. White Non-Hispanic,0,0,0,77500.711
71,3,1,2. Black Non-Hispanic,0,0,1,10859.668
74,3,1,2. Black Non-Hispanic,0,1,0,21945.994
18,3,1,2. Black Non-Hispanic,0,0,1,26148.863
38,1,1,2. Black Non-Hispanic,1,1,0,80045.719
67,4,0,5. Hispanic,0,1,0,17213.85
45,3,0,2. Black Non-Hispanic,0,0,0,35658.25
64.92213052,3,1,1. White Non-Hispanic,0,1,1,0
72,4,0,1. White Non-Hispanic,0,0,0,94500
34,2,1,1. White Non-Hispanic,1,0,0,57877.953
54,3,1,5. Hispanic,1,1,0,43103.012
33,1,1,5. Hispanic,1,0,1,28168.547
28,1,1,5. Hispanic,1,1,0,39821.512
20,2,1,4. Other / MultiRacial,0,0,0,38089.313
52,1,0,5. Hispanic,1,1,1,9873.043
64,4,1,1. White Non-Hispanic,0,1,0,227867.59
26,3,0,3. Asian Non-Hispanic,0,0,0,55333.445
20,4,1,5. Hispanic,0,0,0,25359.369
61,2,1,1. White Non-Hispanic,0,0,0,99366.938
40,4,0,1. White Non-Hispanic,0,0,0,127280.6
28,4,1,5. Hispanic,0,0,0,68493.406
41,1,1,5. Hispanic,1,0,1,29207.461
42,4,0,1. White Non-Hispanic,0,0,0,211734.66
36,4,0,1. White Non-Hispanic,0,0,0,102144.7
22.95437575,4,1,1. White Non-Hispanic,1,0,0,75980.789
60,2,1,5. Hispanic,0,0,1,9747
36,1,1,5. Hispanic,1,1,0,44019.133
53,2,0,5. Hispanic,1,0,0,16048.773
50,2,1,5. Hispanic,1,1,1,21779.484
43,4,1,4. Other / MultiRacial,1,1,0,59776.789
49,3,0,2. Black Non-Hispanic,1,0,0,93810.344
47,4,1,1. White Non-Hispanic,0,0,0,43504.25
34,4,0,4. Other / MultiRacial,1,0,0,46867.34
70,1,1,2. Black Non-Hispanic,0,1,0,53392.742
57,4,1,1. White Non-Hispanic,0,0,0,25756.951
46,2,1,2. Black Non-Hispanic,0,0,0,45170.648
49,4,1,1. White Non-Hispanic,0,0,0,50358.699
49,1,1,5. Hispanic,1,0,0,38941.281
51,3,0,2. Black Non-Hispanic,1,1,0,87535.273
50,3,1,5. Hispanic,1,1,0,37940.5
35,4,0,5. Hispanic,0,0,0,173966.55
26,2,1,1. White Non-Hispanic,0,0,0,68800.742
75,1,0,2. Black Non-Hispanic,0,1,0,110523.98
63,4,1,2. Black Non-Hispanic,1,0,0,42470.25
57,1,1,2. Black Non-Hispanic,1,1,1,28469.76
50,3,1,5. Hispanic,1,1,0,32348.723
48,3,0,2. Black Non-Hispanic,0,0,0,74356
30,1,1,2. Black Non-Hispanic,0,1,0,31156.896
58,3,1,1. White Non-Hispanic,1,0,1,27872.5
76,2,0,2. Black Non-Hispanic,0,0,0,58110.141
65,1,0,2. Black Non-Hispanic,1,1,0,207643.89
51,3,1,2. Black Non-Hispanic,1,1,0,36840.512
33,4,0,4. Other / MultiRacial,0,0,0,128151.8
32,4,1,1. White Non-Hispanic,0,0,0,59510.199
53,1,1,5. Hispanic,0,1,0,19890.023
26,2,1,5. Hispanic,1,0,0,65165.754
59,2,0,2. Black Non-Hispanic,0,1,0,60246.324
80,1,1,1. White Non-Hispanic,0,0,0,46422.453
49,4,1,1. White Non-Hispanic,0,0,0,129969.2
56,2,0,5. Hispanic,1,0,0,31511.328
33,3,0,1. White Non-Hispanic,0,0,0,112074.29
77,2,1,1. White Non-Hispanic,0,0,0,47453.07
61,4,0,1. White Non-Hispanic,0,0,0,41056.293
43,2,1,5. Hispanic,0,1,0,66695.328
29,4,0,5. Hispanic,0,0,0,84844.633
53,3,0,3. Asian Non-Hispanic,0,0,0,61411.5
53,2,1,2. Black Non-Hispanic,1,1,1,15042.98
54,4,0,1. White Non-Hispanic,0,1,0,15658.25
45,4,0,1. White Non-Hispanic,0,0,0,206081.55
48,2,1,5. Hispanic,0,0,0,73837.414
54,4,1,3. Asian Non-Hispanic,0,0,0,423890
50,2,1,5. Hispanic,1,1,1,17050.809
45,2,0,2. Black Non-Hispanic,1,1,0,122862.91
21,1,0,2. Black Non-Hispanic,1,0,1,56380.809
30,1,1,5. Hispanic,0,0,0,52583.301
59,4,1,5. Hispanic,1,1,0,75767.063
44,2,0,2. Black Non-Hispanic,1,0,1,19330.209
53,1,1,3. Asian Non-Hispanic,1,1,0,21015.264
60,4,1,1. White Non-Hispanic,0,0,0,192581.61
21,2,1,3. Asian Non-Hispanic,0,0,1,30095.342
84,4,1,1. White Non-Hispanic,0,1,0,139440
58,1,1,5. Hispanic,1,1,1,0
40,4,1,3. Asian Non-Hispanic,0,0,0,213408.39
72,2,1,1. White Non-Hispanic,0,0,0,87516.094
58,3,1,5. Hispanic,1,1,0,31409.051
20,2,0,2. Black Non-Hispanic,0,0,0,165820.47
74,1,1,5. Hispanic,1,1,0,27782.953
52,1,0,2. Black Non-Hispanic,1,0,0,20386.242
46,1,0,2. Black Non-Hispanic,1,1,1,21029.311
57,1,1,5. Hispanic,0,0,0,118115.58
33,4,1,5. Hispanic,0,0,0,221690.22
58,4,1,3. Asian Non-Hispanic,1,1,1,12952.5
49,2,0,5. Hispanic,0,0,1,0
34,3,0,2. Black Non-Hispanic,1,0,0,57803.398
35,4,0,1. White Non-Hispanic,0,0,0,62086.445
36,4,0,3. Asian Non-Hispanic,0,0,0,120946.15
19,1,1,5. Hispanic,1,0,1,26595.678
25,4,1,5. Hispanic,0,0,0,34827.25
23,3,1,5. Hispanic,1,0,0,31505.24
58,1,1,4. Other / MultiRacial,1,1,1,498.85001
26,2,0,5. Hispanic,1,0,1,34502.938
72,4,1,4. Other / MultiRacial,0,0,0,74619.75
37,4,1,1. White Non-Hispanic,1,0,0,22517.189
81,2,1,2. Black Non-Hispanic,0,0,0,16333.61
54,2,0,2. Black Non-Hispanic,0,1,0,18319.98
59,3,1,2. Black Non-Hispanic,0,1,0,70341.555
50,4,0,1. White Non-Hispanic,0,0,0,73545.219
69,2,1,1. White Non-Hispanic,0,0,0,46000
42.57522393,3,1,2. Black Non-Hispanic,1,0,0,51678.297
33,3,0,5. Hispanic,1,1,0,35718.664
27,1,1,5. Hispanic,1,1,1,25481.141
18,2,1,5. Hispanic,1,0,1,27627.154
44,4,1,1. White Non-Hispanic,0,0,0,106451.5
39,4,1,2. Black Non-Hispanic,0,0,0,43305.984
32,4,1,1. White Non-Hispanic,0,0,0,103232.5
57,2,0,1. White Non-Hispanic,0,1,0,102818.09
58,4,0,1. White Non-Hispanic,0,0,0,34253.25
60,4,0,3. Asian Non-Hispanic,0,0,0,111097.3
72,3,1,5. Hispanic,0,0,0,88368.445
32,4,0,3. Asian Non-Hispanic,0,1,0,47443.25
26,4,1,2. Black Non-Hispanic,0,0,0,177866.28
88,2,1,2. Black Non-Hispanic,0,1,0,125766.93
59,3,0,1. White Non-Hispanic,0,0,0,64981.391
39,3,0,4. Other / MultiRacial,1,1,0,87111.359
59,2,1,2. Black Non-Hispanic,0,0,0,124710.33
42,2,0,2. Black Non-Hispanic,1,1,0,109826.24
50,3,1,1. White Non-Hispanic,0,1,0,54648
66,3,1,4. Other / MultiRacial,0,1,0,52114.531
26,4,0,1. White Non-Hispanic,0,0,0,112728.25
50,1,1,5. Hispanic,1,1,0,57022.965
73,1,1,5. Hispanic,0,1,0,59327.23
46,3,0,5. Hispanic,0,0,0,132821.58
71,1,1,5. Hispanic,0,1,0,60215.387
51,3,1,2. Black Non-Hispanic,1,1,0,138353.27
33,4,0,2. Black Non-Hispanic,0,0,0,61024.18
19,2,0,5. Hispanic,1,0,1,13904.588
75,2,1,2. Black Non-Hispanic,0,1,0,60349.977
44,3,1,5. Hispanic,1,0,0,43702.879
25,3,0,3. Asian Non-Hispanic,0,0,0,99814.883
44,2,0,2. Black Non-Hispanic,1,1,1,11359.529
91,2,1,2. Black Non-Hispanic,0,0,0,21172.258
69,2,0,1. White Non-Hispanic,0,0,0,56862.48
89,3,1,1. White Non-Hispanic,0,1,0,19094.359
47,4,1,2. Black Non-Hispanic,0,0,0,116282.2
44,4,0,2. Black Non-Hispanic,0,0,0,49377.25
53,1,0,2. Black Non-Hispanic,1,1,1,15334.306
83,4,0,1. White Non-Hispanic,0,0,1,12528.27
23,3,1,2. Black Non-Hispanic,0,0,0,64566.957
20,3,0,5. Hispanic,0,0,0,116537.69
52,1,0,2. Black Non-Hispanic,1,0,0,20954.996
72,1,1,2. Black Non-Hispanic,0,1,0,79066.641
34,2,1,5. Hispanic,0,0,0,39406.266
32,4,0,1. White Non-Hispanic,0,0,0,84928
45,2,0,2. Black Non-Hispanic,1,0,0,15033.455
39,3,1,2. Black Non-Hispanic,0,0,0,79472.422
32,1,0,5. Hispanic,1,0,1,10102.951
55,2,1,1. White Non-Hispanic,0,0,0,31435.211
32,4,1,2. Black Non-Hispanic,0,0,0,88565.875
56,4,1,2. Black Non-Hispanic,1,0,0,102847.08
59,2,1,2. Black Non-Hispanic,0,0,0,119531.3
20,3,1,2. Black Non-Hispanic,0,0,1,26871.002
48,3,0,1. White Non-Hispanic,0,0,0,133325.31
41.23681491,3,1,4. Other / MultiRacial,1,0,0,46456.75
80,4,0,3. Asian Non-Hispanic,1,0,0,28025.447
52,2,1,2. Black Non-Hispanic,0,1,0,45145.789
35,4,0,1. White Non-Hispanic,0,0,0,160638.8
38,4,0,1. White Non-Hispanic,0,0,0,385632.78
73,4,0,1. White Non-Hispanic,0,0,0,73689.969
47,2,1,1. White Non-Hispanic,1,1,1,13894.73
61,2,1,2. Black Non-Hispanic,1,0,0,52548.402
58,3,1,1. White Non-Hispanic,1,1,0,72421.297
18,2,1,2. Black Non-Hispanic,1,0,0,149462.42
85,3,1,2. Black Non-Hispanic,0,1,0,28421.891
63,3,1,1. White Non-Hispanic,1,1,1,27299.633
64,3,1,2. Black Non-Hispanic,1,0,0,105367.55
39,4,1,1. White Non-Hispanic,0,0,0,96464.289
56,3,0,2. Black Non-Hispanic,1,0,1,28008.496
31,4,0,5. Hispanic,0,0,0,212272.45
55,4,1,3. Asian Non-Hispanic,1,1,0,39098.539
60,4,0,1. White Non-Hispanic,0,0,0,43577
44,1,1,5. Hispanic,0,1,0,21229.109
63,3,0,2. Black Non-Hispanic,0,0,0,124782.98
40,4,1,1. White Non-Hispanic,0,0,0,95095.328
63,4,1,1. White Non-Hispanic,0,0,0,63388.805
24,3,1,5. Hispanic,1,0,0,41303.535
50,4,1,2. Black Non-Hispanic,0,0,0,37547.293
55,4,0,4. Other / MultiRacial,1,1,0,81100.078
62,4,1,1. White Non-Hispanic,0,0,0,52198.25
18,3,1,5. Hispanic,1,1,0,113590.67
27,2,0,2. Black Non-Hispanic,1,0,1,3764.73
33,2,0,1. White Non-Hispanic,0,0,0,78938.023
37,1,0,1. White Non-Hispanic,0,0,0,71318.688
55,4,0,3. Asian Non-Hispanic,0,0,0,63816.5
55.32074201,3,1,4. Other / MultiRacial,0,0,0,65589.68
73,1,0,2. Black Non-Hispanic,1,0,1,12249.98
62,4,1,1. White Non-Hispanic,0,0,1,13209.88
46,1,0,5. Hispanic,1,1,0,14986.49
46,3,1,2. Black Non-Hispanic,1,1,0,24528.32
41,4,1,1. White Non-Hispanic,1,0,1,0
68,2,1,1. White Non-Hispanic,1,1,0,19493.652
62,4,1,2. Black Non-Hispanic,0,0,0,83848.914
57,4,1,1. White Non-Hispanic,0,0,0,107137.77
25,2,1,1. White Non-Hispanic,0,1,0,370185.19
40,4,0,5. Hispanic,0,0,0,97818.766
55,4,0,1. White Non-Hispanic,1,0,0,38638.25
24,4,1,4. Other / MultiRacial,0,1,0,206858.02
62,4,1,1. White Non-Hispanic,0,0,0,79665.586
49,3,1,5. Hispanic,0,0,0,96267.148
40.96159274,1,1,5. Hispanic,1,0,1,20835.713
73,2,1,5. Hispanic,0,0,0,138313.59
55,3,1,1. White Non-Hispanic,0,0,0,107597.77
60,3,0,1. White Non-Hispanic,1,0,0,83511.453
36,2,0,2. Black Non-Hispanic,0,0,1,999.53998
67,3,1,1. White Non-Hispanic,1,1,0,89724.563
90,2,1,2. Black Non-Hispanic,1,1,0,250095.08
33,4,1,1. White Non-Hispanic,0,0,0,73979.703
66,4,1,2. Black Non-Hispanic,0,0,0,41428.609
22,3,1,1. White Non-Hispanic,1,0,0,58741.148
71,1,1,4. Other / MultiRacial,0,1,1,21707.77
57,2,0,3. Asian Non-Hispanic,1,1,1,20404.5
50,4,0,2. Black Non-Hispanic,1,1,1,12111.721
30,2,1,5. Hispanic,0,0,0,59103.789
52,3,1,5. Hispanic,0,0,0,42148.25
63,1,1,5. Hispanic,1,1,0,16138.773
24,4,1,5. Hispanic,1,0,1,24276.25
67,2,1,4. Other / MultiRacial,1,0,0,144000
71,2,0,4. Other / MultiRacial,1,0,0,19941.043
62,3,1,2. Black Non-Hispanic,0,0,0,21738.057
63,2,1,5. Hispanic,0,1,0,52026.313
36,2,0,5. Hispanic,1,1,1,11271.933
79,3,1,2. Black Non-Hispanic,0,0,0,128174.16
51,3,1,2. Black Non-Hispanic,1,0,0,38521.5
54,4,1,1. White Non-Hispanic,1,0,0,115780.25
60,4,1,1. White Non-Hispanic,0,0,0,95586.703
28,1,1,5. Hispanic,0,0,0,22944.889
37,4,1,5. Hispanic,0,0,0,213764.09
61,1,0,4. Other / MultiRacial,1,0,0,31949.471
19,2,0,3. Asian Non-Hispanic,1,0,0,90155.344
61,2,1,1. White Non-Hispanic,1,1,0,19980.652
20,3,1,5. Hispanic,0,0,0,31391.15
30,1,1,2. Black Non-Hispanic,0,0,0,24952.068
40,3,1,1. White Non-Hispanic,1,0,0,43855.75
58,1,1,5. Hispanic,1,1,1,11019.323
34,2,0,2. Black Non-Hispanic,0,0,1,13117.36
52,1,0,4. Other / MultiRacial,1,0,1,5706.6899
36,2,1,5. Hispanic,1,0,0,35625.309
54,4,1,1. White Non-Hispanic,0,0,0,84688.25
52,4,1,1. White Non-Hispanic,0,0,0,58636.602
35,2,1,2. Black Non-Hispanic,0,0,1,20679.369
33,4,1,2. Black Non-Hispanic,1,1,1,10658.748
23,4,1,1. White Non-Hispanic,0,0,0,16917.143
56.39610271,4,1,1. White Non-Hispanic,0,0,0,130986.94
63,3,1,1. White Non-Hispanic,0,0,0,70490.484
59,4,1,1. White Non-Hispanic,0,0,0,89121.5
42,4,1,1. White Non-Hispanic,0,0,0,129388.92
60,4,0,1. White Non-Hispanic,0,0,0,33735.301
77,4,0,1. White Non-Hispanic,0,0,1,9890.3545
22,4,1,3. Asian Non-Hispanic,0,0,0,98064.555
42,2,0,1. White Non-Hispanic,1,0,0,57958
47,3,0,4. Other / MultiRacial,0,0,0,105533.2
75,4,1,4. Other / MultiRacial,0,0,0,219172.98
51,1,0,1. White Non-Hispanic,0,1,1,5564.5488
75,1,1,2. Black Non-Hispanic,1,1,1,10267.61
31,4,1,5. Hispanic,1,0,0,49772.535
66,3,1,2. Black Non-Hispanic,0,0,0,48900
44,3,1,1. White Non-Hispanic,0,0,0,49900.5
20,4,0,5. Hispanic,0,0,0,191503.25
21,3,1,1. White Non-Hispanic,1,0,0,25340.631
77,2,1,5. Hispanic,1,1,0,17867.023
23,3,0,5. Hispanic,0,0,0,33838.375
86,4,0,1. White Non-Hispanic,0,0,0,46802.855
45,4,0,1. White Non-Hispanic,0,0,0,222852.3
48,1,1,5. Hispanic,1,0,1,21475.768
81,2,0,5. Hispanic,0,1,0,19769.877
30,3,0,2. Black Non-Hispanic,0,0,0,83493.617
47,4,1,2. Black Non-Hispanic,0,0,0,47002.758
29,3,1,2. Black Non-Hispanic,0,0,1,28685.02
50,4,0,1. White Non-Hispanic,1,0,0,45509.051
48,2,1,1. White Non-Hispanic,1,1,1,44550.027
83,4,1,1. White Non-Hispanic,1,1,0,55207.992
63,2,0,2. Black Non-Hispanic,0,0,0,25735.465
64,3,0,1. White Non-Hispanic,0,0,0,52457.5
30,4,1,5. Hispanic,0,0,0,65459.84
51,3,0,2. Black Non-Hispanic,0,1,1,5181.3042
52,4,1,2. Black Non-Hispanic,0,0,0,48838.25
63,2,1,1. White Non-Hispanic,1,1,0,26849.484
65,1,1,5. Hispanic,1,1,0,26184.348
51,3,0,2. Black Non-Hispanic,1,1,0,41145.043
49,4,1,1. White Non-Hispanic,0,0,0,167547.3
65,4,1,1. White Non-Hispanic,1,0,0,167267.98
45,3,1,2. Black Non-Hispanic,1,0,0,41735.055
56,2,1,2. Black Non-Hispanic,1,0,1,17566
70,4,1,1. White Non-Hispanic,0,1,0,44415.328
37,3,1,5. Hispanic,1,1,0,91029.961
19,2,0,2. Black Non-Hispanic,0,0,0,42521.738
60,1,0,2. Black Non-Hispanic,1,0,0,51461.293
47,2,0,1. White Non-Hispanic,1,0,0,174459.5
18,3,0,2. Black Non-Hispanic,0,0,0,110767.62
46,4,0,1. White Non-Hispanic,0,0,0,55540.25
62,3,0,5. Hispanic,0,0,0,21994.783
46,3,0,2. Black Non-Hispanic,1,0,0,133927.27
75,4,0,3. Asian Non-Hispanic,0,0,0,178289.05
26,4,0,3. Asian Non-Hispanic,0,0,0,75068.5
45,4,1,1. White Non-Hispanic,0,0,0,61116
81,3,0,4. Other / MultiRacial,0,1,0,20262.98
31,2,1,5. Hispanic,1,0,0,45028.969
48,2,1,1. White Non-Hispanic,0,0,1,34784.398
34,3,1,2. Black Non-Hispanic,1,0,0,46462.73
18,2,1,5. Hispanic,0,0,1,35039.723
18,2,0,2. Black Non-Hispanic,0,1,0,51585.633
20,3,1,5. Hispanic,1,0,1,8765.6152
73,2,1,2. Black Non-Hispanic,0,0,0,25026.273
47,2,1,2. Black Non-Hispanic,0,0,0,119100
19,2,1,2. Black Non-Hispanic,0,0,1,25739.531
77,4,0,1. White Non-Hispanic,0,0,0,74377.75
68,4,1,2. Black Non-Hispanic,1,1,0,43649.23
53,4,0,1. White Non-Hispanic,0,0,0,71513.492
52,3,0,3. Asian Non-Hispanic,0,1,0,76467.063
68,3,1,2. Black Non-Hispanic,0,1,0,26821.076
35,4,1,2. Black Non-Hispanic,0,0,0,37481.531
28,4,1,1. White Non-Hispanic,0,0,0,90348.25
34,4,1,5. Hispanic,0,0,0,56958.801
72,2,0,2. Black Non-Hispanic,0,0,0,144099.98
36,4,1,3. Asian Non-Hispanic,0,0,0,45895.25
50,2,0,5. Hispanic,1,1,1,19701.541
29,4,0,2. Black Non-Hispanic,0,0,0,44733.914
61,4,1,1. White Non-Hispanic,0,0,0,90068.25
25,4,1,5. Hispanic,0,0,0,54266.852
30,4,1,5. Hispanic,0,1,0,60131.168
52,2,1,5. Hispanic,1,0,1,0
46,2,1,5. Hispanic,1,0,0,82708.25
47,4,1,1. White Non-Hispanic,0,0,0,85058.344
20,3,1,5. Hispanic,0,0,0,70873.469
42,1,0,5. Hispanic,1,1,1,621.8902
53,4,1,4. Other / MultiRacial,1,1,1,30259.828
20,3,1,5. Hispanic,0,1,1,8901.0889
55,4,1,1. White Non-Hispanic,0,0,0,99240.398
60,3,1,4. Other / MultiRacial,0,1,0,29029.598
38,4,1,5. Hispanic,1,0,0,56375.27
81,2,1,2. Black Non-Hispanic,0,1,0,21535.152
73,1,1,2. Black Non-Hispanic,1,0,0,21332.057
50,1,1,5. Hispanic,1,0,0,39255.406
31,3,1,2. Black Non-Hispanic,1,1,1,19585.631
61,2,1,5. Hispanic,1,0,0,19995.652
39,4,1,3. Asian Non-Hispanic,0,0,0,47282.859
25,2,0,2. Black Non-Hispanic,0,0,0,56945.941
52,3,1,2. Black Non-Hispanic,1,1,1,0
27,3,0,5. Hispanic,1,0,1,22019.611
32,4,1,2. Black Non-Hispanic,0,0,0,64369.969
30,4,1,1. White Non-Hispanic,0,0,0,137548.25
70,2,1,2. Black Non-Hispanic,0,0,0,162871.48
56,4,1,2. Black Non-Hispanic,1,0,0,43527.914
22,4,1,4. Other / MultiRacial,0,0,1,0
41,3,1,2. Black Non-Hispanic,1,0,0,88798.563
40,4,0,1. White Non-Hispanic,0,0,0,44545.402
45,1,1,5. Hispanic,0,0,1,5934.8359
55,4,0,5. Hispanic,0,0,0,103918.25
38,3,0,2. Black Non-Hispanic,0,0,0,77972.203
49,1,1,2. Black Non-Hispanic,0,1,0,52861.859
59,4,0,2. Black Non-Hispanic,0,0,0,33716.293
19,2,0,5. Hispanic,1,0,0,86768.563
46,4,1,1. White Non-Hispanic,1,0,0,32912.703
73,4,0,1. White Non-Hispanic,0,0,0,112044.23
62,2,0,5. Hispanic,1,0,0,37183.5
28,3,1,1. White Non-Hispanic,1,0,0,89665.5
54,4,1,1. White Non-Hispanic,0,0,0,105200
33,4,0,3. Asian Non-Hispanic,0,0,0,86655.555
56,3,1,1. White Non-Hispanic,1,0,1,19977.25
32,4,0,1. White Non-Hispanic,0,0,0,170115.91
46,4,1,1. White Non-Hispanic,1,0,0,48706.965
65,1,0,4. Other / MultiRacial,1,1,0,18566.389
67,3,0,1. White Non-Hispanic,0,0,0,19451.84
66,1,1,2. Black Non-Hispanic,1,1,0,33094.836
51,2,0,2. Black Non-Hispanic,1,0,1,35958
35,4,1,5. Hispanic,0,0,0,67134.75
40,3,0,2. Black Non-Hispanic,1,1,1,11688.92
32,4,1,4. Other / MultiRacial,0,0,0,73499.867
45,3,0,1. White Non-Hispanic,0,0,0,234608.06
45,3,0,2. Black Non-Hispanic,1,0,0,39605.25
32,2,1,2. Black Non-Hispanic,0,0,0,100126.04
58,1,1,2. Black Non-Hispanic,0,0,0,28072.373
42,3,1,1. White Non-Hispanic,1,0,1,11684.42
56,3,0,2. Black Non-Hispanic,0,0,0,88940.25
63,1,0,2. Black Non-Hispanic,0,0,0,96331.273
28,2,0,2. Black Non-Hispanic,1,1,0,59413.754
72,2,1,1. White Non-Hispanic,0,0,1,9950
39,4,1,2. Black Non-Hispanic,0,0,0,59465.5
86,4,1,1. White Non-Hispanic,0,0,0,17650
59,1,1,1. White Non-Hispanic,0,0,1,2762.8367
62,2,1,5. Hispanic,1,1,0,30023.789
52,3,0,3. Asian Non-Hispanic,0,0,0,72229.852
39,1,1,2. Black Non-Hispanic,1,0,1,19516.289
52,3,1,3. Asian Non-Hispanic,1,0,0,90520.383
28,3,1,5. Hispanic,0,0,0,51599.16
33,3,1,4. Other / MultiRacial,1,0,1,15302.461
26,4,1,5. Hispanic,0,0,1,14038.75
36,3,1,2. Black Non-Hispanic,0,1,1,23714.547
51,4,1,2. Black Non-Hispanic,1,0,0,117599.2
19,2,1,1. White Non-Hispanic,0,0,0,58759.336
34,2,1,2. Black Non-Hispanic,1,0,1,30738.736
50,4,1,4. Other / MultiRacial,1,1,1,63.510799
49,4,1,1. White Non-Hispanic,0,0,0,77138.25
65,2,1,1. White Non-Hispanic,0,0,0,142366.64
57,2,1,5. Hispanic,0,1,0,38990.242
53,3,1,4. Other / MultiRacial,1,1,1,7440.3823
35,4,1,5. Hispanic,1,0,0,54728.25
51,2,1,1. White Non-Hispanic,0,0,0,72100.43
72,1,0,5. Hispanic,1,1,1,19926.096
68,4,1,2. Black Non-Hispanic,0,0,0,67700
36,3,1,5. Hispanic,1,0,0,43557.5
85,2,0,1. White Non-Hispanic,0,1,0,21121.23
29,4,1,2. Black Non-Hispanic,0,0,0,91750.867
43,1,1,5. Hispanic,1,0,1,22459.5
50,1,0,1. White Non-Hispanic,0,1,0,423890
60,1,1,5. Hispanic,1,1,1,0
51,2,0,4. Other / MultiRacial,1,1,1,11491.893
49,3,1,2. Black Non-Hispanic,1,0,1,19091.73
66,4,0,1. White Non-Hispanic,0,0,0,34215.879
56,4,1,5. Hispanic,0,0,0,67410.5
25,4,0,1. White Non-Hispanic,0,0,0,115378.75
70,3,0,5. Hispanic,0,0,0,26443.279
