Age,Household_Resources
42,119011.77
34,34978.012
37,207400
53,94415.781
38,73806.57
38,62537.813
58,498.85001
54,11017.673
20,31391.15
41,-4412.0771
31,207400
23,95638.664
45,14291.298
47,8254
32,16021.55
55,162575.17
37,11187.273
30,16067.592
63,19702.998
58,31409.051
52,-3294.9216
58,23298.75
46,47790.25
20,132783.66
24,15299.5
40,38810.871
27,4200.1621
61,16758.559
63,62397.363
45,89519.797
22,20762.26
40,84743.797
50,133547.13
53,71513.492
69,156605.98
23,26846.514
19,54708.75
37,96039.422
33,207400
36,53969
28,56204.5
28,5398
54,207400
26,63980.16
30,41100.09
27,33874.789
36,50268.949
32,10383.73
33,47998.25
31,207400
50,207400
50,45509.051
25,11187.279
62,15667.5
35,153413.69
49,55540.059
,30391.328
18,105838.95
33,28168.547
47,105533.2
44,38419.664
19,26354.65
21,-10
45,207400
45,41634.922
59,119016
57,10579.153
21,15188.854
,112555.7
24,4785.9058
20,19251.652
45,15398.75
31,49772.535
56,28795.568
46,77694.5
36,120946.15
62,181721.38
45,13894.043
20,9585.9932
45,25663.25
19,105068.17
27,3764.73
26,135732.25
18,5855.2681
42,207400
35,207400
24,14940.8
47,10441.465
56,19377.523
43,62391.227
54,69951.5
35,207400
33,45507.711
35,62086.445
24,17468.391
68,67700
29,31655.689
51,2538.8999
43,26148.551
24,20540.916
53,15042.98
59,3094.8445
38,25278.25
46,100229.46
47,53928.25
57,29754.609
39,77939.898
57,102818.09
21,25018.408
41,36900
57,101344.21
58,21322.523
59,45025.422
80,-4843.5737
60,84181.25
77,79737.586
76,83327.648
37,53957
85,71447.188
57,28469.76
40,24930.576
24,207400
45,78294.07
72,22390.152
70,53392.742
72,15058.578
62,49143.863
47,47002.758
61,116799.64
47,119100
46,56245
67,63000
61,82318.992
24,43107.949
53,32655.5
61,49947
50,61338.059
56,0
52,58779.859
33,28263.604
56,39226.512
70,44415.328
66,110473.83
30,45263.25
54,66820.141
39,43305.984
75,36217.063
75,131269.64
65,108199.23
43,207400
46,38039.574
62,51783.965
28,188167.42
44,83963.734
33,73979.703
,74574.203
37,98164.086
45,45922.25
60,24741.25
64,72488.078
33,137662.02
63,27299.633
20,116537.69
59,40000
40,89429.031
37,178032.67
55,38638.25
66,139174.25
56,133279.58
19,84616.43
60,111097.3
47,34219.023
59,75767.063
66,41428.609
48,17463.568
53,19151.773
50,13160.056
57,56699.902
52,90520.383
69,81568.711
30,58833.379
56,67410.5
20,70873.469
31,45028.969
42,124447.22
66,39605.109
42,12916.04
35,55974.609
,43410.75
37,21885.684
53,20179.1
46,207400
30,60131.168
58,104776
68,15161.11
35,207400
64,18654.273
49,19091.73
58,35851.836
42,105891.71
28,90348.25
39,32603.176
51,55652.18
33,4142.48
48,85006.398
40,43855.75
43,160700
53,21161.596
56,127317.3
29,44819.5
59,81529.133
26,207400
65,18566.389
69,126193.13
60,-2487.8708
82,20713.043
37,42883.602
29,38435.594
57,30825.043
42,136473.11
91,113620
48,38163.559
71,162004.98
81,21535.152
80,28025.447
85,28421.891
53,28075
28,68493.406
67,50408.449
39,87111.359
36,45895.25
46,69446.5
49,13629
47,19078.33
56,17566
65,95554.867
18,8168.2329
32,207400
74,71000
49,72361
72,23630.264
31,207400
60,55735.113
72,91667.289
,41807.781
46,14712.5
18,37175.313
94,35074.98
81,94084.734
70,29253.943
54,22738.545
56,19415.773
52,30493.189
66,1077.295
18,2812.1545
19,78786
26,41769.25
65,21052.275
62,97583.5
84,21840.902
55,54223.051
35,22589.039
39,40005.25
29,26396.25
27,34410.25
36,28560.039
47,117311
32,17184.98
32,45409.66
70,11773.757
25,26531.25
61,44455.051
75,60349.977
36,999.53998
34,45950.605
45,206081.55
49,96267.148
21,14250.321
91,21172.258
41,27245.654
67,17213.85
49,52741.199
87,19298.023
46,472.40509
29,9019.6963
66,173729.5
50,80160.25
22,24957.699
66,129753.39
45,207400
29,18382.25
65,134590.75
19,58759.336
58,27459.521
48,83303.297
50,83416.695
65,188300.28
60,43577
69,45235.625
67,160844.25
38,145532.19
46,129456.75
19,147370.34
73,58564.754
38,39212.879
22,95978.75
57,107137.77
63,37710.914
71,10859.668
,146983.23
64,207400
34,39406.266
58,109573.31
25,80659.266
31,13462.309
27,35560.922
25,47276.25
36,49421.652
86,171314.98
,142321.53
48,74404.547
64,50562.02
66,26294.256
40,44545.402
37,91029.961
18,157851.77
60,-1207.8755
27,56686.816
47,39770.5
81,38230.152
43,63984.258
81,20262.98
69,56862.48
26,34502.938
57,104743.16
34,42891.051
,-2669.1724
26,44455.219
26,165524.59
48,55928.25
34,57803.398
28,60011.5
55,63618.008
39,77870.984
62,62316.5
51,20223.391
51,47591.137
77,25925.48
68,207400
38,90375.094
66,52114.531
60,49480.25
36,87699
44,72302.078
29,84815.336
53,56056.289
28,110986.25
38,3709.0378
32,170115.91
53,16764.23
59,22812.342
61,19995.652
48,207400
89,19094.359
52,32342.75
79,36805.789
44,106451.5
64,15187.2
67,88054.211
38,172937.98
53,44278.719
90,54789.891
55,133346.17
31,35403.926
25,5157.7002
62,28194.354
23,47319.102
31,53915.172
48,4304.563
38,207400
34,12194.103
60,19738.77
56,207400
,-7907.6802
20,38089.313
56,-2500
41,88798.563
61,20190.023
26,68800.742
50,97346.117
42,104744.94
62,52198.25
36,97885.047
33,10658.748
60,27060.514
67,135763
60,207400
65,74952.5
75,178289.05
39,19887.17
22,33710.281
36,183554.2
52,57216.5
54,64807.273
39,47110.332
35,32833.898
46,190588.45
84,139440
50,98962.25
24,77717.797
18,113590.67
43,207400
36,9646.6836
32,100126.04
30,26864
63,16138.773
30,48939.762
79,11902.023
,51678.297
53,52371.895
47,85058.344
31,90601.5
89,47400
40,37678.5
56,17283
37,134800.28
33,40157.207
80,23234.719
22,12421.928
22,72174.07
60,32953.043
64,13075
20,21866.924
71,29400
30,65459.84
45,56469.328
61,31949.471
57,9960
54,207400
59,57641.406
42,14895.368
37,11237.094
39,59465.5
51,27911.332
61,22906.102
21,28747.57
76,58110.141
80,9637.4805
28,89234.414
81,19769.877
45,162009
73,26427
60,19541.447
45,33068.711
63,37657.25
76,29803.164
46,88439.008
44,52568.379
71,19941.043
24,-201488.17
30,21527.025
55,19046.773
27,22019.611
51,30861.686
60,55773.012
82,13165.941
60,25160
55,89282.68
54,18098.508
64,163361.31
52,19793.592
67,36094.164
34,207400
65,32100
45,39525.664
68,25950.174
32,78534.359
65,77008.508
89,40933.402
55,140109.61
48,73837.414
57,36474.652
31,40617.203
75,25.110001
48,43811.203
58,11350.756
50,37940.5
50,57022.965
40,46492.926
76,17595.523
68,26821.076
37,71318.688
65,83600
56,112275.99
43,22459.5
40,207400
73,25026.273
35,29853.25
56,106218.2
52,4472.3599
65,27000
82,48910.492
69,64201.031
22,27793.072
65,34151.641
48,30058.602
38,64287.25
52,207400
23,179769.23
69,35630.477
21,36052.422
47,24775.33
51,168457.42
81,6619.3599
57,87237.648
58,88272.602
58,207400
81,77806.688
70,69013.117
23,60552.129
57,78058.492
45,39605.25
45,44286.375
44,76081.719
26,27263.805
67,89724.563
50,32348.723
68,43649.23
27,56060.395
53,19590.5
52,8408.5215
56,34269.5
42,190919.84
52,-2270
51,-7001.709
63,19195.523
76,30383.467
75,66000
32,52346.449
56,31705.73
40,11688.92
81,30000
52,42260.5
42,51061
60,19233.557
40,73707.508
73,21332.057
51,60167.477
39,135119.22
29,16781.809
22,-4554.0259
50,29087.75
,45103.512
39,19516.289
44,-1188.96
50,152909.3
46,44253.25
34,207400
54,84688.25
37,52112.547
57,74527.109
37,48890.648
73,112044.23
51,53075.051
29,53528.25
30,42358.25
68,55095.324
57,56294.832
53,415
46,126794.1
22,-2187.7793
41,207400
50,62392.75
27,56770.57
48,50983.578
72,207400
35,37481.531
75,20314.115
62,86434.789
30,40704.629
49,207400
84,50
49,30336.25
67,144000
28,46587.402
50,54648
56,120455.5
47,22113.25
81,139600
65,27.384022
56,18551.24
23,65563.477
66,54168.352
28,68068.25
29,28685.02
41,57365.5
,100111.73
79,199346.14
18,104400.34
77,9890.3545
59,33716.293
35,60965.766
25,34827.25
36,3331.135
60,19296
32,36818.742
55,207400
29,33847.789
31,87604.531
61,9242.4033
32,84928
63,25199.152
65,77034.766
62,30023.789
20,72930.219
30,83493.617
71,60215.387
27,30386.588
87,0
20,121178.09
19,52843.512
45,6864.6167
72,139640.61
36,35193.102
26,27340.447
32,49179.996
54,31937.752
42,34462.496
33,142455.33
60,15338.231
62,10809.69
79,24543.523
22,58741.148
50,45165.25
45,128367.6
60,27586.357
28,89665.5
74,43006.77
33,125051.92
69,38916.785
54,33129.191
76,93832.852
53,26099.43
85,147701.28
47,57628.293
47,65163
72,3004.6052
73,201483.88
69,46000
74,63914.414
67,73341.258
77,65867.586
57,140445.5
53,54780.086
67,35152.75
48,105199.73
31,34282.836
53,207400
56,12730.81
32,117688.3
87,18953.023
23,6190.1934
,207400
65,30122.424
68,21281.402
67,207400
29,162380.91
92,19037.48
64,18599.352
44,9437.4805
,21433
68,60055.012
58,36649.5
78,14100
66,100000
40,78898.938
66,97178.133
20,8378.0234
69,11620.98
67,133338.83
41,23169.92
45,68668.75
50,54556.992
39,24004.643
84,27324.342
,46456.75
64,115342.73
44,19330.209
36,102144.7
85,4237.48
62,27254.457
63,26849.484
89,-437.51999
62,21994.783
,78124.875
23,63007.602
54,15658.25
26,177866.28
70,53299.551
37,72228.25
69,37093.98
20,65597.203
65,38182.164
66,115678.38
57,90513.539
30,59103.789
71,117488.16
54,21009.77
58,28072.373
23,31505.24
56,7525.5425
66,207400
86,46802.855
21,54648.629
51,60099.035
37,207400
18,38503.73
59,31621.199
34,46462.73
27,86463.25
77,19611.537
46,48706.965
20,8765.6152
28,91766.625
70,161042.7
51,7765.8677
52,72229.852
73,36084.98
64,69586.219
44,72139.367
54,22111.848
32,65077.398
48,207400
,102234
90,20362.658
83,55207.992
42,97347.539
73,35550
25,103320
40,86850.008
38,14983.439
71,207400
77,17867.023
28,108903.8
34,18347.992
64,119950.62
27,58106.492
55,41717
,94131.906
70,26443.279
65,26184.348
27,54816.801
45,57968.922
63,9435
71,132129.52
46,35925.727
65,37120.289
25,77488.766
32,39079.25
70,134090
54,137533.05
37,62570.586
30,116478.25
61,99607.703
55,33433.043
28,156974.33
55,196121.8
47,31980.244
63,96331.273
55,63816.5
44,21229.109
58,93099.719
,20835.713
30,75101.031
53,24319.744
37,84172.82
51,72100.43
52,37831.34
51,66990.945
48,44832.09
75,19470.609
59,207400
22,74586.836
52,29285.744
67,25432.369
73,-1494.2247
58,3680.4141
60,32538.25
,65589.68
24,50070.883
48,21475.768
84,63500
48,34784.398
42,207400
61,64825
42,117783.55
77,6221.9409
58,27872.5
20,1002.7362
59,65661.5
54,115780.25
54,32082.387
55,2675
66,150896.08
42,55868.18
,90341.938
76,9077.6367
49,26370.469
50,36217.859
45,74689.219
38,188722.19
36,35997.941
49,38941.281
31,42706.887
26,22497.189
49,81253.453
76,6182.9028
57,35732.391
24,206858.02
32,57193.5
49,18258.33
,27595.568
72,207400
63,103554.79
39,178604.34
23,90411.547
58,166647.19
56,62890
52,-4221.1172
28,64726.5
43,121072.2
36,43557.5
26,65165.754
59,72691.5
36,49945.5
45,12990.743
35,173966.55
30,109815.6
53,50157.25
54,36158.25
60,28297.047
65,36705.48
69,207400
18,110767.62
31,33653.25
48,74356
54,10914
30,19935.457
61,78506.102
35,16886.467
83,29025.504
58,19688.131
32,64369.969
47,13181.82
33,15302.461
45,169.2634
51,138353.27
18,43463.281
56,-26885.051
44,25761.191
53,19473.678
54,63806.598
54,19890.523
41,35767.316
53,9233.3408
36,49877.898
23,33838.375
31,84201.281
53,81271.82
21,57335.711
22,14875.279
20,67982.438
35,31710.352
48,51061.961
34,29779.055
56,110542.79
50,69250.313
46,24528.32
59,39322.293
45,50309.266
54,32445.848
46,12326.103
27,25481.141
18,149462.42
35,50742.555
23,19834.307
42,28849.537
26,57220.121
25,49582.395
30,55281.352
62,35393.539
41,68290.469
21,4872.7759
32,3183.6379
24,39544.57
43,69655.594
57,118115.58
29,96496.625
66,33094.836
48,34873.734
41,29207.461
55,17912.773
55,25667.77
22,3673.0481
38,56375.27
34,57877.953
35,43898.84
25,36944.426
36,23714.547
31,156197.13
20,32418.131
44,89357.086
28,44061.586
40,92784.391
35,70007.023
27,42909.418
39,79472.422
51,5181.3042
49,20157.043
27,113699.48
21,56380.809
49,5198.1284
32,10102.951
20,26720.879
40,15445
40,13149.043
25,728.80127
51,11491.893
20,60238.77
30,13137.043
33,12633.043
46,48075.387
46,65401.301
54,22473.043
46,19582.902
42,21010.455
61,17911.789
54,14369.586
45,35665.758
57,17138.699
62,9516
57,30695.758
41,24.52
75,35455.762
43,33038.945
70,34433.027
65,30547.182
22,25966.91
27,22930.25
69,54551.949
52,20954.996
35,33523
44,22149.674
58,15418.043
35,114638.82
62,21738.057
31,25201.799
19,95033.961
19,91057.273
18,65846.938
20,32955.93
22,132420.58
18,51585.633
20,95048.688
18,27627.154
18,86168.445
20,80529.336
19,46294.672
19,106041.43
19,90155.344
19,42045.355
29,20997.455
30,95003.039
49,55215.191
50,55059.57
38,80045.719
50,5075
51,38521.5
35,32688.949
46,81238.18
36,35893.125
54,33401.238
43,51038.766
43,56461.25
52,9873.043
46,14986.49
25,8913.043
59,20540.822
57,29410.523
51,17966.869
51,70978.492
42,621.8902
51,15894.968
52,8553.043
22,31999.695
32,20643.637
46,21029.311
22,39722.43
21,116727.64
22,16399.684
48,25930.385
50,9499.2598
44,11359.529
47,63262.25
44,10953.043
48,31229.928
57,13372.813
43,3273.4172
58,11570.23
50,19701.541
49,12010.86
54,18319.98
51,41145.043
57,30011.789
56,8353.043
41,46113.906
25,120305.57
28,92914.867
27,53578.41
38,49074.883
26,22572.406
37,37300.949
24,41303.535
18,51217.773
30,31156.896
28,51599.16
26,36137.27
19,26595.678
18,44567.027
22,51969
20,55472.379
21,128664.06
22,87073.766
18,20233.295
21,118834.63
21,33733.289
19,56297.023
19,52415.055
19,86768.563
49,16157.977
33,20202.701
52,20386.242
29,15943.943
53,30259.828
55,20529.043
44,7183.0098
21,14177.043
44,10663.55
56,88940.25
55,28355.582
54,25663.25
54,70790.406
58,75623.242
56,31511.328
53,23698
49,26560
31,19585.631
40,18424.307
50,3579.8376
65,19583.848
35,7897.2231
56,23099.5
55,102494.63
43,18317.523
51,87535.273
42,109826.24
58,4870
55,25705.043
48,1347.9449
53,12167.835
48,11919.277
77,10700
54,19580.152
73,12249.98
31,14176.2
26,56156.398
20,26300
33,36493.75
57,19420.25
23,23745.752
20,25359.369
23,6357.7002
54,43103.012
49,39507.898
53,6876.9053
42,53340.77
73,24844.646
23,112045.6
42,28471.73
46,133927.27
24,54484.609
43,66695.328
60,133916.41
65,60397.043
72,21200
46,115579.14
58,200832.2
49,52861.859
40,29809.459
63,18758.902
72,10097.99
57,34081.387
51,36840.512
42,88035.039
36,44019.133
52,42010.84
44,59920.699
36,11271.933
66,24933.232
45,13887.368
59,70341.555
52,18338.344
30,848.84601
45,41735.055
75,110523.98
61,52548.402
50,72491.055
41,53952.75
65,-3950
43,128448.25
50,80196.523
45,75573.063
61,160974.75
73,99540.555
43,45172.285
50,207400
35,70607.5
58,90100
86,17650
37,185536.34
45,172610.61
46,32912.703
51,122681
25,63166.965
40,139736.17
58,58816.898
54,207400
34,72010.469
74,31573.34
51,19445.418
67,69626.602
60,110412.04
49,192857.48
